Périmètre;Nature;Date;Heures;Consommation
Grand-Est;Données définitives;01/01/2016;00:00;5130
Grand-Est;Données définitives;01/01/2016;00:30;5130
Grand-Est;Données définitives;01/01/2016;01:00;5014
Grand-Est;Données définitives;01/01/2016;01:30;5056
Grand-Est;Données définitives;01/01/2016;02:00;5036
Grand-Est;Données définitives;01/01/2016;02:30;5008
Grand-Est;Données définitives;01/01/2016;03:00;4892
Grand-Est;Données définitives;01/01/2016;03:30;4744
Grand-Est;Données définitives;01/01/2016;04:00;4593
Grand-Est;Données définitives;01/01/2016;04:30;4495
Grand-Est;Données définitives;01/01/2016;05:00;4368
Grand-Est;Données définitives;01/01/2016;05:30;4411
Grand-Est;Données définitives;01/01/2016;06:00;4378
Grand-Est;Données définitives;01/01/2016;06:30;4388
Grand-Est;Données définitives;01/01/2016;07:00;4388
Grand-Est;Données définitives;01/01/2016;07:30;4430
Grand-Est;Données définitives;01/01/2016;08:00;4425
Grand-Est;Données définitives;01/01/2016;08:30;4309
Grand-Est;Données définitives;01/01/2016;09:00;4247
Grand-Est;Données définitives;01/01/2016;09:30;4384
Grand-Est;Données définitives;01/01/2016;10:00;4433
Grand-Est;Données définitives;01/01/2016;10:30;4445
Grand-Est;Données définitives;01/01/2016;11:00;4520
Grand-Est;Données définitives;01/01/2016;11:30;4729
Grand-Est;Données définitives;01/01/2016;12:00;4788
Grand-Est;Données définitives;01/01/2016;12:30;4935
Grand-Est;Données définitives;01/01/2016;13:00;5045
Grand-Est;Données définitives;01/01/2016;13:30;4819
Grand-Est;Données définitives;01/01/2016;14:00;4825
Grand-Est;Données définitives;01/01/2016;14:30;4680
Grand-Est;Données définitives;01/01/2016;15:00;4701
Grand-Est;Données définitives;01/01/2016;15:30;4628
Grand-Est;Données définitives;01/01/2016;16:00;4595
Grand-Est;Données définitives;01/01/2016;16:30;4720
Grand-Est;Données définitives;01/01/2016;17:00;4779
Grand-Est;Données définitives;01/01/2016;17:30;5146
Grand-Est;Données définitives;01/01/2016;18:00;5189
Grand-Est;Données définitives;01/01/2016;18:30;5295
Grand-Est;Données définitives;01/01/2016;19:00;5401
Grand-Est;Données définitives;01/01/2016;19:30;5382
Grand-Est;Données définitives;01/01/2016;20:00;5338
Grand-Est;Données définitives;01/01/2016;20:30;5221
Grand-Est;Données définitives;01/01/2016;21:00;5227
Grand-Est;Données définitives;01/01/2016;21:30;5182
Grand-Est;Données définitives;01/01/2016;22:00;5043
Grand-Est;Données définitives;01/01/2016;22:30;5064
Grand-Est;Données définitives;01/01/2016;23:00;5108
Grand-Est;Données définitives;01/01/2016;23:30;5064
Grand-Est;Données définitives;02/01/2016;00:00;5042
Grand-Est;Données définitives;02/01/2016;00:30;4922
Grand-Est;Données définitives;02/01/2016;01:00;4758
Grand-Est;Données définitives;02/01/2016;01:30;4737
Grand-Est;Données définitives;02/01/2016;02:00;4805
Grand-Est;Données définitives;02/01/2016;02:30;4677
Grand-Est;Données définitives;02/01/2016;03:00;4534
Grand-Est;Données définitives;02/01/2016;03:30;4483
Grand-Est;Données définitives;02/01/2016;04:00;4444
Grand-Est;Données définitives;02/01/2016;04:30;4416
Grand-Est;Données définitives;02/01/2016;05:00;4393
Grand-Est;Données définitives;02/01/2016;05:30;4379
Grand-Est;Données définitives;02/01/2016;06:00;4503
Grand-Est;Données définitives;02/01/2016;06:30;4500
Grand-Est;Données définitives;02/01/2016;07:00;4616
Grand-Est;Données définitives;02/01/2016;07:30;4690
Grand-Est;Données définitives;02/01/2016;08:00;4842
Grand-Est;Données définitives;02/01/2016;08:30;4836
Grand-Est;Données définitives;02/01/2016;09:00;4876
Grand-Est;Données définitives;02/01/2016;09:30;5003
Grand-Est;Données définitives;02/01/2016;10:00;5073
Grand-Est;Données définitives;02/01/2016;10:30;5096
Grand-Est;Données définitives;02/01/2016;11:00;5152
Grand-Est;Données définitives;02/01/2016;11:30;5230
Grand-Est;Données définitives;02/01/2016;12:00;5384
Grand-Est;Données définitives;02/01/2016;12:30;5481
Grand-Est;Données définitives;02/01/2016;13:00;5612
Grand-Est;Données définitives;02/01/2016;13:30;5402
Grand-Est;Données définitives;02/01/2016;14:00;5333
Grand-Est;Données définitives;02/01/2016;14:30;5200
Grand-Est;Données définitives;02/01/2016;15:00;5163
Grand-Est;Données définitives;02/01/2016;15:30;5096
Grand-Est;Données définitives;02/01/2016;16:00;5021
Grand-Est;Données définitives;02/01/2016;16:30;5033
Grand-Est;Données définitives;02/01/2016;17:00;5163
Grand-Est;Données définitives;02/01/2016;17:30;5450
Grand-Est;Données définitives;02/01/2016;18:00;5620
Grand-Est;Données définitives;02/01/2016;18:30;5651
Grand-Est;Données définitives;02/01/2016;19:00;5697
Grand-Est;Données définitives;02/01/2016;19:30;5658
Grand-Est;Données définitives;02/01/2016;20:00;5533
Grand-Est;Données définitives;02/01/2016;20:30;5420
Grand-Est;Données définitives;02/01/2016;21:00;5338
Grand-Est;Données définitives;02/01/2016;21:30;5320
Grand-Est;Données définitives;02/01/2016;22:00;5183
Grand-Est;Données définitives;02/01/2016;22:30;5217
Grand-Est;Données définitives;02/01/2016;23:00;5224
Grand-Est;Données définitives;02/01/2016;23:30;5174
Grand-Est;Données définitives;03/01/2016;00:00;5184
Grand-Est;Données définitives;03/01/2016;00:30;5049
Grand-Est;Données définitives;03/01/2016;01:00;4872
Grand-Est;Données définitives;03/01/2016;01:30;4847
Grand-Est;Données définitives;03/01/2016;02:00;4869
Grand-Est;Données définitives;03/01/2016;02:30;4773
Grand-Est;Données définitives;03/01/2016;03:00;4646
Grand-Est;Données définitives;03/01/2016;03:30;4570
Grand-Est;Données définitives;03/01/2016;04:00;4423
Grand-Est;Données définitives;03/01/2016;04:30;4292
Grand-Est;Données définitives;03/01/2016;05:00;4292
Grand-Est;Données définitives;03/01/2016;05:30;4290
Grand-Est;Données définitives;03/01/2016;06:00;4310
Grand-Est;Données définitives;03/01/2016;06:30;4366
Grand-Est;Données définitives;03/01/2016;07:00;4449
Grand-Est;Données définitives;03/01/2016;07:30;4503
Grand-Est;Données définitives;03/01/2016;08:00;4551
Grand-Est;Données définitives;03/01/2016;08:30;4509
Grand-Est;Données définitives;03/01/2016;09:00;4569
Grand-Est;Données définitives;03/01/2016;09:30;4634
Grand-Est;Données définitives;03/01/2016;10:00;4790
Grand-Est;Données définitives;03/01/2016;10:30;4966
Grand-Est;Données définitives;03/01/2016;11:00;4979
Grand-Est;Données définitives;03/01/2016;11:30;5118
Grand-Est;Données définitives;03/01/2016;12:00;5282
Grand-Est;Données définitives;03/01/2016;12:30;5350
Grand-Est;Données définitives;03/01/2016;13:00;5525
Grand-Est;Données définitives;03/01/2016;13:30;5250
Grand-Est;Données définitives;03/01/2016;14:00;5152
Grand-Est;Données définitives;03/01/2016;14:30;5069
Grand-Est;Données définitives;03/01/2016;15:00;4997
Grand-Est;Données définitives;03/01/2016;15:30;4960
Grand-Est;Données définitives;03/01/2016;16:00;4935
Grand-Est;Données définitives;03/01/2016;16:30;4907
