Périmètre;Nature;Date;Heures;Consommation
Normandie;Données définitives;03/01/2020;07:30;3688
Normandie;Données définitives;03/01/2020;08:00;3741
Normandie;Données définitives;03/01/2020;08:30;3844
Normandie;Données définitives;03/01/2020;09:00;3832
Normandie;Données définitives;03/01/2020;09:30;3854
Normandie;Données définitives;03/01/2020;10:00;3886
Normandie;Données définitives;03/01/2020;10:30;3900
Normandie;Données définitives;03/01/2020;11:00;3929
Normandie;Données définitives;03/01/2020;11:30;3966
Normandie;Données définitives;03/01/2020;12:00;4020
Normandie;Données définitives;03/01/2020;12:30;4081
Normandie;Données définitives;03/01/2020;13:00;4073
Normandie;Données définitives;03/01/2020;13:30;3960
Normandie;Données définitives;03/01/2020;14:00;3920
Normandie;Données définitives;03/01/2020;14:30;3834
Normandie;Données définitives;03/01/2020;15:00;3764
Normandie;Données définitives;03/01/2020;15:30;3711
Normandie;Données définitives;03/01/2020;16:00;3668
Normandie;Données définitives;03/01/2020;16:30;3654
Normandie;Données définitives;03/01/2020;17:00;3690
Normandie;Données définitives;03/01/2020;17:30;3819
Normandie;Données définitives;03/01/2020;18:00;3957
Normandie;Données définitives;03/01/2020;18:30;4053
Normandie;Données définitives;03/01/2020;19:00;4111
Normandie;Données définitives;03/01/2020;19:30;4104
Normandie;Données définitives;03/01/2020;20:00;4037
Normandie;Données définitives;03/01/2020;20:30;3927
Normandie;Données définitives;03/01/2020;21:00;3861
Normandie;Données définitives;03/01/2020;21:30;3960
Normandie;Données définitives;03/01/2020;22:00;3924
Normandie;Données définitives;03/01/2020;22:30;4030
Normandie;Données définitives;03/01/2020;23:00;4123
Normandie;Données définitives;03/01/2020;23:30;4009
Normandie;Données définitives;04/01/2020;00:00;4037
Normandie;Données définitives;04/01/2020;00:30;3964
Normandie;Données définitives;04/01/2020;01:00;3823
Normandie;Données définitives;04/01/2020;01:30;3844
Normandie;Données définitives;04/01/2020;02:00;3815
Normandie;Données définitives;04/01/2020;02:30;3701
Normandie;Données définitives;04/01/2020;03:00;3629
Normandie;Données définitives;04/01/2020;03:30;3565
Normandie;Données définitives;04/01/2020;04:00;3506
Normandie;Données définitives;04/01/2020;04:30;3493
Normandie;Données définitives;04/01/2020;05:00;3494
Normandie;Données définitives;04/01/2020;05:30;3564
Normandie;Données définitives;04/01/2020;06:00;3606
Normandie;Données définitives;04/01/2020;06:30;3714
Normandie;Données définitives;04/01/2020;07:00;3775
Normandie;Données définitives;04/01/2020;07:30;3861
Normandie;Données définitives;04/01/2020;08:00;3918
Normandie;Données définitives;04/01/2020;08:30;4012
Normandie;Données définitives;04/01/2020;09:00;4014
Normandie;Données définitives;04/01/2020;09:30;4022
Normandie;Données définitives;04/01/2020;10:00;4065
Normandie;Données définitives;04/01/2020;10:30;4057
Normandie;Données définitives;04/01/2020;11:00;4015
Normandie;Données définitives;04/01/2020;11:30;3992
Normandie;Données définitives;04/01/2020;12:00;3981
Normandie;Données définitives;04/01/2020;12:30;3997
Normandie;Données définitives;04/01/2020;13:00;3982
Normandie;Données définitives;04/01/2020;13:30;3860
Normandie;Données définitives;04/01/2020;14:00;3756
Normandie;Données définitives;04/01/2020;14:30;3692
Normandie;Données définitives;04/01/2020;15:00;3637
Normandie;Données définitives;04/01/2020;15:30;3582
Normandie;Données définitives;04/01/2020;16:00;3593
Normandie;Données définitives;04/01/2020;16:30;3594
Normandie;Données définitives;04/01/2020;17:00;3625
Normandie;Données définitives;04/01/2020;17:30;3734
Normandie;Données définitives;04/01/2020;18:00;3899
Normandie;Données définitives;04/01/2020;18:30;3980
Normandie;Données définitives;04/01/2020;19:00;4044
Normandie;Données définitives;04/01/2020;19:30;4049
Normandie;Données définitives;04/01/2020;20:00;3967
Normandie;Données définitives;04/01/2020;20:30;3866
Normandie;Données définitives;04/01/2020;21:00;3825
Normandie;Données définitives;04/01/2020;21:30;3893
Normandie;Données définitives;04/01/2020;22:00;3863
Normandie;Données définitives;04/01/2020;22:30;3981
Normandie;Données définitives;04/01/2020;23:00;4077
Normandie;Données définitives;04/01/2020;23:30;3921
Normandie;Données définitives;05/01/2020;00:00;3942
Normandie;Données définitives;05/01/2020;00:30;3838
Normandie;Données définitives;05/01/2020;01:00;3686
Normandie;Données définitives;05/01/2020;01:30;3684
Normandie;Données définitives;05/01/2020;02:00;3646
Normandie;Données définitives;05/01/2020;02:30;3520
Normandie;Données définitives;05/01/2020;03:00;3420
Normandie;Données définitives;05/01/2020;03:30;3340
Normandie;Données définitives;05/01/2020;04:00;3269
Normandie;Données définitives;05/01/2020;04:30;3232
Normandie;Données définitives;05/01/2020;05:00;3213
Normandie;Données définitives;05/01/2020;05:30;3242
Normandie;Données définitives;05/01/2020;06:00;3255
Normandie;Données définitives;05/01/2020;06:30;3343
Normandie;Données définitives;05/01/2020;07:00;3368
Normandie;Données définitives;05/01/2020;07:30;3434
Normandie;Données définitives;05/01/2020;08:00;3454
Normandie;Données définitives;05/01/2020;08:30;3504
Normandie;Données définitives;05/01/2020;09:00;3489
Normandie;Données définitives;05/01/2020;09:30;3535
Normandie;Données définitives;05/01/2020;10:00;3590
Normandie;Données définitives;05/01/2020;10:30;3633
Normandie;Données définitives;05/01/2020;11:00;3673
Normandie;Données définitives;05/01/2020;11:30;3703
Normandie;Données définitives;05/01/2020;12:00;3762
Normandie;Données définitives;05/01/2020;12:30;3860
Normandie;Données définitives;05/01/2020;13:00;3865
Normandie;Données définitives;05/01/2020;13:30;3719
Normandie;Données définitives;05/01/2020;14:00;3600
Normandie;Données définitives;05/01/2020;14:30;3507
Normandie;Données définitives;05/01/2020;15:00;3435
Normandie;Données définitives;05/01/2020;15:30;3387
Normandie;Données définitives;05/01/2020;16:00;3373
Normandie;Données définitives;05/01/2020;16:30;3386
Normandie;Données définitives;05/01/2020;17:00;3412
Normandie;Données définitives;05/01/2020;17:30;3541
Normandie;Données définitives;05/01/2020;18:00;3711
Normandie;Données définitives;05/01/2020;18:30;3841
Normandie;Données définitives;05/01/2020;19:00;3917
Normandie;Données définitives;05/01/2020;19:30;3934
Normandie;Données définitives;05/01/2020;20:00;3880
Normandie;Données définitives;05/01/2020;20:30;3778
Normandie;Données définitives;05/01/2020;21:00;3732
Normandie;Données définitives;05/01/2020;21:30;3827
Normandie;Données définitives;05/01/2020;22:00;3780
Normandie;Données définitives;05/01/2020;22:30;3901
Normandie;Données définitives;05/01/2020;23:00;3987
Normandie;Données définitives;05/01/2020;23:30;3842
Normandie;Données définitives;06/01/2020;00:00;3874
Normandie;Données définitives;06/01/2020;00:30;3791
Normandie;Données définitives;06/01/2020;01:00;3650
Normandie;Données définitives;06/01/2020;01:30;3689
Normandie;Données définitives;06/01/2020;02:00;3691
Normandie;Données définitives;06/01/2020;02:30;3601
Normandie;Données définitives;06/01/2020;03:00;3520
Normandie;Données définitives;06/01/2020;03:30;3502
Normandie;Données définitives;06/01/2020;04:00;3467
Normandie;Données définitives;06/01/2020;04:30;3485
Normandie;Données définitives;06/01/2020;05:00;3543
Normandie;Données définitives;06/01/2020;05:30;3730
Normandie;Données définitives;06/01/2020;06:00;3869
Normandie;Données définitives;06/01/2020;06:30;4099
Normandie;Données définitives;06/01/2020;07:00;4287
Normandie;Données définitives;06/01/2020;07:30;4477
Normandie;Données définitives;06/01/2020;08:00;4541
Normandie;Données définitives;06/01/2020;08:30;4639
Normandie;Données définitives;06/01/2020;09:00;4620
Normandie;Données définitives;06/01/2020;09:30;4619
Normandie;Données définitives;06/01/2020;10:00;4596
Normandie;Données définitives;06/01/2020;10:30;4558
Normandie;Données définitives;06/01/2020;11:00;4467
Normandie;Données définitives;06/01/2020;11:30;4444
Normandie;Données définitives;06/01/2020;12:00;4440
Normandie;Données définitives;06/01/2020;12:30;4426
Normandie;Données définitives;06/01/2020;13:00;4365
Normandie;Données définitives;06/01/2020;13:30;4264
Normandie;Données définitives;06/01/2020;14:00;4194
Normandie;Données définitives;06/01/2020;14:30;4134
Normandie;Données définitives;06/01/2020;15:00;4049
Normandie;Données définitives;06/01/2020;15:30;4003
Normandie;Données définitives;06/01/2020;16:00;4015
Normandie;Données définitives;06/01/2020;16:30;4055
Normandie;Données définitives;06/01/2020;17:00;4128
Normandie;Données définitives;06/01/2020;17:30;4282
Normandie;Données définitives;06/01/2020;18:00;4415
Normandie;Données définitives;06/01/2020;18:30;4552
Normandie;Données définitives;06/01/2020;19:00;4616
Normandie;Données définitives;06/01/2020;19:30;4570
Normandie;Données définitives;06/01/2020;20:00;4390
Normandie;Données définitives;06/01/2020;20:30;4244
Normandie;Données définitives;06/01/2020;21:00;4154
Normandie;Données définitives;06/01/2020;21:30;4181
Normandie;Données définitives;06/01/2020;22:00;4113
Normandie;Données définitives;06/01/2020;22:30;4196
Normandie;Données définitives;06/01/2020;23:00;4276
Normandie;Données définitives;06/01/2020;23:30;4097
Normandie;Données définitives;07/01/2020;00:00;4108
Normandie;Données définitives;07/01/2020;00:30;4002
Normandie;Données définitives;07/01/2020;01:00;3835
Normandie;Données définitives;07/01/2020;01:30;3846
Normandie;Données définitives;07/01/2020;02:00;3808
Normandie;Données définitives;07/01/2020;02:30;3693
Normandie;Données définitives;07/01/2020;03:00;3606
Normandie;Données définitives;07/01/2020;03:30;3542
Normandie;Données définitives;07/01/2020;04:00;3501
Normandie;Données définitives;07/01/2020;04:30;3497
Normandie;Données définitives;07/01/2020;05:00;3500
Normandie;Données définitives;07/01/2020;05:30;3636
Normandie;Données définitives;07/01/2020;06:00;3744
Normandie;Données définitives;07/01/2020;06:30;3961
