Périmètre;Nature;Date;Heures;Consommation
Normandie;Données définitives;01/01/2017;00:00;4960
Normandie;Données définitives;01/01/2017;00:30;4863
Normandie;Données définitives;01/01/2017;01:00;4746
Normandie;Données définitives;01/01/2017;01:30;4755
Normandie;Données définitives;01/01/2017;02:00;4778
Normandie;Données définitives;01/01/2017;02:30;4666
Normandie;Données définitives;01/01/2017;03:00;4520
Normandie;Données définitives;01/01/2017;03:30;4414
Normandie;Données définitives;01/01/2017;04:00;4305
Normandie;Données définitives;01/01/2017;04:30;4261
Normandie;Données définitives;01/01/2017;05:00;4197
Normandie;Données définitives;01/01/2017;05:30;4199
Normandie;Données définitives;01/01/2017;06:00;4177
Normandie;Données définitives;01/01/2017;06:30;4211
Normandie;Données définitives;01/01/2017;07:00;4180
Normandie;Données définitives;01/01/2017;07:30;4204
Normandie;Données définitives;01/01/2017;08:00;4207
Normandie;Données définitives;01/01/2017;08:30;4223
Normandie;Données définitives;01/01/2017;09:00;4182
Normandie;Données définitives;01/01/2017;09:30;4212
Normandie;Données définitives;01/01/2017;10:00;4239
Normandie;Données définitives;01/01/2017;10:30;4294
Normandie;Données définitives;01/01/2017;11:00;4331
Normandie;Données définitives;01/01/2017;11:30;4363
Normandie;Données définitives;01/01/2017;12:00;4402
Normandie;Données définitives;01/01/2017;12:30;4508
Normandie;Données définitives;01/01/2017;13:00;4529
Normandie;Données définitives;01/01/2017;13:30;4435
Normandie;Données définitives;01/01/2017;14:00;4314
Normandie;Données définitives;01/01/2017;14:30;4200
Normandie;Données définitives;01/01/2017;15:00;4103
Normandie;Données définitives;01/01/2017;15:30;4070
Normandie;Données définitives;01/01/2017;16:00;4031
Normandie;Données définitives;01/01/2017;16:30;4086
Normandie;Données définitives;01/01/2017;17:00;4124
Normandie;Données définitives;01/01/2017;17:30;4257
Normandie;Données définitives;01/01/2017;18:00;4387
Normandie;Données définitives;01/01/2017;18:30;4457
Normandie;Données définitives;01/01/2017;19:00;4518
Normandie;Données définitives;01/01/2017;19:30;4516
Normandie;Données définitives;01/01/2017;20:00;4481
Normandie;Données définitives;01/01/2017;20:30;4408
Normandie;Données définitives;01/01/2017;21:00;4353
Normandie;Données définitives;01/01/2017;21:30;4454
Normandie;Données définitives;01/01/2017;22:00;4376
Normandie;Données définitives;01/01/2017;22:30;4481
Normandie;Données définitives;01/01/2017;23:00;4604
Normandie;Données définitives;01/01/2017;23:30;4403
Normandie;Données définitives;02/01/2017;00:00;4405
Normandie;Données définitives;02/01/2017;00:30;4266
Normandie;Données définitives;02/01/2017;01:00;4111
Normandie;Données définitives;02/01/2017;01:30;4107
Normandie;Données définitives;02/01/2017;02:00;4085
Normandie;Données définitives;02/01/2017;02:30;3955
Normandie;Données définitives;02/01/2017;03:00;3874
Normandie;Données définitives;02/01/2017;03:30;3816
Normandie;Données définitives;02/01/2017;04:00;3756
Normandie;Données définitives;02/01/2017;04:30;3746
Normandie;Données définitives;02/01/2017;05:00;3785
Normandie;Données définitives;02/01/2017;05:30;3863
Normandie;Données définitives;02/01/2017;06:00;3942
Normandie;Données définitives;02/01/2017;06:30;4070
Normandie;Données définitives;02/01/2017;07:00;4174
Normandie;Données définitives;02/01/2017;07:30;4266
Normandie;Données définitives;02/01/2017;08:00;4342
Normandie;Données définitives;02/01/2017;08:30;4415
Normandie;Données définitives;02/01/2017;09:00;4441
Normandie;Données définitives;02/01/2017;09:30;4450
Normandie;Données définitives;02/01/2017;10:00;4483
Normandie;Données définitives;02/01/2017;10:30;4523
Normandie;Données définitives;02/01/2017;11:00;4541
Normandie;Données définitives;02/01/2017;11:30;4570
Normandie;Données définitives;02/01/2017;12:00;4578
Normandie;Données définitives;02/01/2017;12:30;4605
Normandie;Données définitives;02/01/2017;13:00;4576
Normandie;Données définitives;02/01/2017;13:30;4416
Normandie;Données définitives;02/01/2017;14:00;4359
Normandie;Données définitives;02/01/2017;14:30;4312
Normandie;Données définitives;02/01/2017;15:00;4194
Normandie;Données définitives;02/01/2017;15:30;4156
Normandie;Données définitives;02/01/2017;16:00;4132
Normandie;Données définitives;02/01/2017;16:30;4161
Normandie;Données définitives;02/01/2017;17:00;4229
Normandie;Données définitives;02/01/2017;17:30;4408
Normandie;Données définitives;02/01/2017;18:00;4612
Normandie;Données définitives;02/01/2017;18:30;4707
Normandie;Données définitives;02/01/2017;19:00;4827
Normandie;Données définitives;02/01/2017;19:30;4812
Normandie;Données définitives;02/01/2017;20:00;4689
Normandie;Données définitives;02/01/2017;20:30;4574
Normandie;Données définitives;02/01/2017;21:00;4493
Normandie;Données définitives;02/01/2017;21:30;4605
Normandie;Données définitives;02/01/2017;22:00;4543
Normandie;Données définitives;02/01/2017;22:30;4650
Normandie;Données définitives;02/01/2017;23:00;4793
Normandie;Données définitives;02/01/2017;23:30;4579
Normandie;Données définitives;03/01/2017;00:00;4607
Normandie;Données définitives;03/01/2017;00:30;4497
Normandie;Données définitives;03/01/2017;01:00;4367
Normandie;Données définitives;03/01/2017;01:30;4404
Normandie;Données définitives;03/01/2017;02:00;4398
Normandie;Données définitives;03/01/2017;02:30;4289
Normandie;Données définitives;03/01/2017;03:00;4211
Normandie;Données définitives;03/01/2017;03:30;4146
Normandie;Données définitives;03/01/2017;04:00;4113
Normandie;Données définitives;03/01/2017;04:30;4121
Normandie;Données définitives;03/01/2017;05:00;4153
Normandie;Données définitives;03/01/2017;05:30;4303
Normandie;Données définitives;03/01/2017;06:00;4412
Normandie;Données définitives;03/01/2017;06:30;4627
Normandie;Données définitives;03/01/2017;07:00;4808
Normandie;Données définitives;03/01/2017;07:30;4966
Normandie;Données définitives;03/01/2017;08:00;5034
Normandie;Données définitives;03/01/2017;08:30;5132
Normandie;Données définitives;03/01/2017;09:00;5111
Normandie;Données définitives;03/01/2017;09:30;5115
Normandie;Données définitives;03/01/2017;10:00;5128
Normandie;Données définitives;03/01/2017;10:30;5068
Normandie;Données définitives;03/01/2017;11:00;5040
Normandie;Données définitives;03/01/2017;11:30;5024
Normandie;Données définitives;03/01/2017;12:00;4986
Normandie;Données définitives;03/01/2017;12:30;4954
Normandie;Données définitives;03/01/2017;13:00;4867
Normandie;Données définitives;03/01/2017;13:30;4734
Normandie;Données définitives;03/01/2017;14:00;4662
Normandie;Données définitives;03/01/2017;14:30;4577
Normandie;Données définitives;03/01/2017;15:00;4456
Normandie;Données définitives;03/01/2017;15:30;4413
Normandie;Données définitives;03/01/2017;16:00;4434
Normandie;Données définitives;03/01/2017;16:30;4465
Normandie;Données définitives;03/01/2017;17:00;4526
Normandie;Données définitives;03/01/2017;17:30;4682
Normandie;Données définitives;03/01/2017;18:00;4906
Normandie;Données définitives;03/01/2017;18:30;4998
Normandie;Données définitives;03/01/2017;19:00;5096
Normandie;Données définitives;03/01/2017;19:30;5046
Normandie;Données définitives;03/01/2017;20:00;4930
Normandie;Données définitives;03/01/2017;20:30;4775
Normandie;Données définitives;03/01/2017;21:00;4661
Normandie;Données définitives;03/01/2017;21:30;4745
Normandie;Données définitives;03/01/2017;22:00;4668
Normandie;Données définitives;03/01/2017;22:30;4753
Normandie;Données définitives;03/01/2017;23:00;4842
Normandie;Données définitives;03/01/2017;23:30;4662
Normandie;Données définitives;04/01/2017;00:00;4670
Normandie;Données définitives;04/01/2017;00:30;4548
Normandie;Données définitives;04/01/2017;01:00;4390
Normandie;Données définitives;04/01/2017;01:30;4409
Normandie;Données définitives;04/01/2017;02:00;4425
Normandie;Données définitives;04/01/2017;02:30;4257
Normandie;Données définitives;04/01/2017;03:00;4139
Normandie;Données définitives;04/01/2017;03:30;4064
Normandie;Données définitives;04/01/2017;04:00;4006
Normandie;Données définitives;04/01/2017;04:30;3993
Normandie;Données définitives;04/01/2017;05:00;4033
Normandie;Données définitives;04/01/2017;05:30;4147
Normandie;Données définitives;04/01/2017;06:00;4264
Normandie;Données définitives;04/01/2017;06:30;4496
Normandie;Données définitives;04/01/2017;07:00;4619
Normandie;Données définitives;04/01/2017;07:30;4773
Normandie;Données définitives;04/01/2017;08:00;4837
Normandie;Données définitives;04/01/2017;08:30;4884
Normandie;Données définitives;04/01/2017;09:00;4854
Normandie;Données définitives;04/01/2017;09:30;4827
Normandie;Données définitives;04/01/2017;10:00;4859
Normandie;Données définitives;04/01/2017;10:30;4855
Normandie;Données définitives;04/01/2017;11:00;4847
Normandie;Données définitives;04/01/2017;11:30;4849
Normandie;Données définitives;04/01/2017;12:00;4860
Normandie;Données définitives;04/01/2017;12:30;4902
Normandie;Données définitives;04/01/2017;13:00;4842
Normandie;Données définitives;04/01/2017;13:30;4721
Normandie;Données définitives;04/01/2017;14:00;4699
Normandie;Données définitives;04/01/2017;14:30;4639
Normandie;Données définitives;04/01/2017;15:00;4543
Normandie;Données définitives;04/01/2017;15:30;4472
Normandie;Données définitives;04/01/2017;16:00;4446
Normandie;Données définitives;04/01/2017;16:30;4473
Normandie;Données définitives;04/01/2017;17:00;4482
Normandie;Données définitives;04/01/2017;17:30;4581
Normandie;Données définitives;04/01/2017;18:00;4717
Normandie;Données définitives;04/01/2017;18:30;4774
Normandie;Données définitives;04/01/2017;19:00;4858
Normandie;Données définitives;04/01/2017;19:30;4806
Normandie;Données définitives;04/01/2017;20:00;4651
Normandie;Données définitives;04/01/2017;20:30;4521
Normandie;Données définitives;04/01/2017;21:00;4391
Normandie;Données définitives;04/01/2017;21:30;4504
Normandie;Données définitives;04/01/2017;22:00;4440
Normandie;Données définitives;04/01/2017;22:30;4521
Normandie;Données définitives;04/01/2017;23:00;4634
Normandie;Données définitives;04/01/2017;23:30;4448
Normandie;Données définitives;05/01/2017;00:00;4488
Normandie;Données définitives;05/01/2017;00:30;4370
Normandie;Données définitives;05/01/2017;01:00;4226
Normandie;Données définitives;05/01/2017;01:30;4280
Normandie;Données définitives;05/01/2017;02:00;4290
Normandie;Données définitives;05/01/2017;02:30;4126
Normandie;Données définitives;05/01/2017;03:00;4087
Normandie;Données définitives;05/01/2017;03:30;4000
Normandie;Données définitives;05/01/2017;04:00;3957
Normandie;Données définitives;05/01/2017;04:30;3965
Normandie;Données définitives;05/01/2017;05:00;4000
Normandie;Données définitives;05/01/2017;05:30;4144
Normandie;Données définitives;05/01/2017;06:00;4256
Normandie;Données définitives;05/01/2017;06:30;4478
Normandie;Données définitives;05/01/2017;07:00;4651
Normandie;Données définitives;05/01/2017;07:30;4840
Normandie;Données définitives;05/01/2017;08:00;4909
Normandie;Données définitives;05/01/2017;08:30;4999
Normandie;Données définitives;05/01/2017;09:00;4950
Normandie;Données définitives;05/01/2017;09:30;4953
